period,start_date,end_date,revenue_index
2018Q1,2018-01-01,2018-02-28,100.0
2018Q2,2018-03-01,2018-06-30,253.5211267605634
2018Q3,2018-07-01,2018-08-31,139.7887323943662
2018Q4,2018-09-01,2018-12-31,306.1619718309859
2019Q1,2019-01-01,2019-02-28,117.69366197183098
2019Q2,2019-03-01,2019-06-30,294.1021126760564
2019Q3,2019-07-01,2019-08-31,156.51408450704227
2019Q4,2019-09-01,2019-12-31,359.94718309859155
2020Q1,2020-01-01,2020-02-29,148.06338028169014
2020Q2,2020-03-01,2020-06-30,289.7887323943662
2020Q3,2020-07-01,2020-08-31,237.32394366197187
2020Q4,2020-09-01,2020-12-31,487.7640845070423
2021Q1,2021-01-01,2021-02-28,216.81338028169014
2021Q2,2021-03-01,2021-06-30,463.38028169014086
2021Q3,2021-07-01,2021-08-31,236.70774647887322
2021Q4,2021-09-01,2021-12-31,552.4429856612275
2022Q1,2022-01-01,2022-02-28,217.50764341850208
2022Q2,2022-03-01,2022-05-31,409.133677610641
2022Q3,2022-06-01,2022-08-31,328.0828577949145
2022Q4,2022-09-01,2022-12-31,512.0797890227013
